date,status,holiday,statutory,sourceYear,confidence
2000-01-01,OFF,NEW_YEAR,1,2000,RECONSTRUCTED
2000-01-02,OFF,NEW_YEAR,0,2000,RECONSTRUCTED
2000-02-05,OFF,SPRING_FESTIVAL,1,2000,RECONSTRUCTED
2000-02-06,OFF,SPRING_FESTIVAL,1,2000,RECONSTRUCTED
2000-02-07,OFF,SPRING_FESTIVAL,1,2000,RECONSTRUCTED
2000-02-08,OFF,SPRING_FESTIVAL,0,2000,RECONSTRUCTED
2000-02-09,OFF,SPRING_FESTIVAL,0,2000,RECONSTRUCTED
2000-02-10,OFF,SPRING_FESTIVAL,0,2000,RECONSTRUCTED
2000-02-11,OFF,SPRING_FESTIVAL,0,2000,RECONSTRUCTED
2000-02-12,WORK,SPRING_FESTIVAL,0,2000,RECONSTRUCTED
2000-02-13,WORK,SPRING_FESTIVAL,0,2000,RECONSTRUCTED
2000-04-29,WORK,LABOUR_DAY,0,2000,RECONSTRUCTED
2000-04-30,WORK,LABOUR_DAY,0,2000,RECONSTRUCTED
2000-05-01,OFF,LABOUR_DAY,1,2000,RECONSTRUCTED
2000-05-02,OFF,LABOUR_DAY,1,2000,RECONSTRUCTED
2000-05-03,OFF,LABOUR_DAY,1,2000,RECONSTRUCTED
2000-05-04,OFF,LABOUR_DAY,0,2000,RECONSTRUCTED
2000-05-05,OFF,LABOUR_DAY,0,2000,RECONSTRUCTED
2000-05-06,OFF,LABOUR_DAY,0,2000,RECONSTRUCTED
2000-05-07,OFF,LABOUR_DAY,0,2000,RECONSTRUCTED
2000-09-30,WORK,NATIONAL_DAY,0,2000,RECONSTRUCTED
2000-10-01,OFF,NATIONAL_DAY,1,2000,RECONSTRUCTED
2000-10-02,OFF,NATIONAL_DAY,1,2000,RECONSTRUCTED
2000-10-03,OFF,NATIONAL_DAY,1,2000,RECONSTRUCTED
2000-10-04,OFF,NATIONAL_DAY,0,2000,RECONSTRUCTED
2000-10-05,OFF,NATIONAL_DAY,0,2000,RECONSTRUCTED
2000-10-06,OFF,NATIONAL_DAY,0,2000,RECONSTRUCTED
2000-10-07,OFF,NATIONAL_DAY,0,2000,RECONSTRUCTED
2000-10-08,WORK,NATIONAL_DAY,0,2000,RECONSTRUCTED
2001-01-01,OFF,NEW_YEAR,1,2001,ARCHIVED_NOTICE
2001-01-20,WORK,SPRING_FESTIVAL,0,2001,ARCHIVED_NOTICE
2001-01-21,WORK,SPRING_FESTIVAL,0,2001,ARCHIVED_NOTICE
2001-01-24,OFF,SPRING_FESTIVAL,1,2001,ARCHIVED_NOTICE
2001-01-25,OFF,SPRING_FESTIVAL,1,2001,ARCHIVED_NOTICE
2001-01-26,OFF,SPRING_FESTIVAL,1,2001,ARCHIVED_NOTICE
2001-01-27,OFF,SPRING_FESTIVAL,0,2001,ARCHIVED_NOTICE
2001-01-28,OFF,SPRING_FESTIVAL,0,2001,ARCHIVED_NOTICE
2001-01-29,OFF,SPRING_FESTIVAL,0,2001,ARCHIVED_NOTICE
2001-01-30,OFF,SPRING_FESTIVAL,0,2001,ARCHIVED_NOTICE
2001-04-28,WORK,LABOUR_DAY,0,2001,ARCHIVED_NOTICE
2001-04-29,WORK,LABOUR_DAY,0,2001,ARCHIVED_NOTICE
2001-05-01,OFF,LABOUR_DAY,1,2001,ARCHIVED_NOTICE
2001-05-02,OFF,LABOUR_DAY,1,2001,ARCHIVED_NOTICE
2001-05-03,OFF,LABOUR_DAY,1,2001,ARCHIVED_NOTICE
2001-05-04,OFF,LABOUR_DAY,0,2001,ARCHIVED_NOTICE
2001-05-05,OFF,LABOUR_DAY,0,2001,ARCHIVED_NOTICE
2001-05-06,OFF,LABOUR_DAY,0,2001,ARCHIVED_NOTICE
2001-05-07,OFF,LABOUR_DAY,0,2001,ARCHIVED_NOTICE
2001-09-29,WORK,NATIONAL_DAY,0,2001,ARCHIVED_NOTICE
2001-09-30,WORK,NATIONAL_DAY,0,2001,ARCHIVED_NOTICE
